,fecha,num_cancelados,num_no_cancelados,tasa
310,2-9-2015,51,70,0.42
311,2-9-2016,58,98,0.37
312,20-1-2016,12,52,0.19
313,20-1-2017,27,48,0.36
314,20-10-2015,26,92,0.22
315,20-10-2016,75,141,0.35
316,20-11-2015,52,123,0.3
317,20-11-2016,33,58,0.36
318,20-12-2015,10,27,0.27
319,20-12-2016,24,51,0.32
320,20-2-2016,21,83,0.2
321,20-2-2017,57,108,0.35
322,20-3-2016,73,128,0.36
323,20-3-2017,31,129,0.19
324,20-4-2016,70,140,0.33
325,20-4-2017,43,94,0.31
326,20-5-2016,100,109,0.48
327,20-5-2017,125,103,0.55
328,20-6-2016,84,120,0.41
329,20-6-2017,51,98,0.34
330,20-7-2015,70,46,0.6
331,20-7-2016,54,89,0.38
332,20-7-2017,41,81,0.34
333,20-8-2015,39,58,0.4
334,20-8-2016,62,127,0.33
335,20-8-2017,42,107,0.28
336,20-9-2015,49,81,0.38
337,20-9-2016,73,114,0.39
338,21-1-2016,19,53,0.26
339,21-1-2017,21,75,0.22
340,21-10-2015,27,101,0.21
341,21-10-2016,127,97,0.57
342,21-11-2015,5,76,0.06
343,21-11-2016,32,132,0.2
344,21-12-2015,9,33,0.21
345,21-12-2016,25,60,0.29
346,21-2-2016,36,51,0.41
347,21-2-2017,21,77,0.21
348,21-3-2016,45,117,0.28
349,21-3-2017,74,68,0.52
350,21-4-2016,65,86,0.43
351,21-4-2017,91,95,0.49
352,21-5-2016,69,116,0.37
353,21-5-2017,48,96,0.33
354,21-6-2016,35,96,0.27
355,21-6-2017,72,76,0.49
356,21-7-2015,53,24,0.69
357,21-7-2016,45,137,0.25
358,21-7-2017,43,87,0.33
359,21-8-2015,11,60,0.15
360,21-8-2016,40,107,0.27
361,21-8-2017,53,98,0.35
362,21-9-2015,75,141,0.35
363,21-9-2016,36,147,0.2
364,22-1-2016,60,47,0.56
365,22-1-2017,11,68,0.14
366,22-10-2015,10,72,0.12
367,22-10-2016,96,71,0.57
368,22-11-2015,2,35,0.05
369,22-11-2016,20,53,0.27
370,22-12-2015,27,51,0.35
371,22-12-2016,42,63,0.4
372,22-2-2016,21,89,0.19
373,22-2-2017,30,130,0.19
374,22-3-2016,48,85,0.36
375,22-3-2017,26,60,0.3
376,22-4-2016,153,123,0.55
377,22-4-2017,80,95,0.46
378,22-5-2016,28,93,0.23
379,22-5-2017,66,120,0.35
380,22-6-2016,21,90,0.19
381,22-6-2017,52,102,0.34
382,22-7-2015,75,41,0.65
383,22-7-2016,41,78,0.34
384,22-7-2017,73,117,0.38
385,22-8-2015,57,75,0.43
386,22-8-2016,64,112,0.36
387,22-8-2017,25,70,0.26
388,22-9-2015,29,84,0.26
389,22-9-2016,58,109,0.35
390,23-1-2016,42,60,0.41
391,23-1-2017,57,68,0.46
392,23-10-2015,12,82,0.13
393,23-10-2016,25,151,0.14
394,23-11-2015,65,131,0.33
395,23-11-2016,22,75,0.23
396,23-12-2015,10,49,0.17
397,23-12-2016,46,77,0.37
398,23-2-2016,20,57,0.26
399,23-2-2017,50,94,0.35
400,23-3-2016,37,90,0.29
401,23-3-2017,40,87,0.31
402,23-4-2016,63,113,0.36
403,23-4-2017,45,103,0.3
404,23-5-2016,36,93,0.28
405,23-5-2017,41,111,0.27
406,23-6-2016,41,69,0.37
407,23-6-2017,89,95,0.48
408,23-7-2015,53,60,0.47
409,23-7-2016,67,133,0.34
410,23-7-2017,51,86,0.37
411,23-8-2015,18,61,0.23
412,23-8-2016,36,73,0.33
413,23-8-2017,38,88,0.3
414,23-9-2015,41,109,0.27
415,23-9-2016,40,94,0.3
416,24-1-2016,8,30,0.21
417,24-1-2017,16,63,0.2
418,24-10-2015,92,57,0.62
419,24-10-2016,36,95,0.27
420,24-11-2015,8,58,0.12
421,24-11-2016,33,79,0.29
422,24-12-2015,20,65,0.24
423,24-12-2016,37,80,0.32
424,24-2-2016,37,66,0.36
425,24-2-2017,46,91,0.34
426,24-3-2016,109,169,0.39
427,24-3-2017,47,123,0.28
428,24-4-2016,85,75,0.53
429,24-4-2017,27,92,0.23
430,24-5-2016,132,92,0.59
431,24-5-2017,79,145,0.35
432,24-6-2016,59,199,0.23
433,24-6-2017,65,90,0.42
434,24-7-2015,15,49,0.23
435,24-7-2016,35,86,0.29
436,24-7-2017,62,130,0.32
437,24-8-2015,64,79,0.45
438,24-8-2016,56,90,0.38
439,24-8-2017,57,90,0.39
440,24-9-2015,99,89,0.53
441,24-9-2016,60,57,0.51
442,25-1-2016,43,61,0.41
443,25-1-2017,63,86,0.42
444,25-10-2015,13,121,0.1
445,25-10-2016,27,122,0.18
446,25-11-2015,4,40,0.09
447,25-11-2016,61,120,0.34
448,25-12-2015,27,38,0.42
449,25-12-2016,16,51,0.24
450,25-2-2016,42,92,0.31
451,25-2-2017,118,177,0.4
452,25-3-2016,117,101,0.54
453,25-3-2017,43,88,0.33
454,25-4-2016,58,89,0.39
455,25-4-2017,26,74,0.26
456,25-5-2016,45,88,0.34
457,25-5-2017,86,179,0.32
458,25-6-2016,32,48,0.4
459,25-6-2017,42,122,0.26
460,25-7-2015,95,97,0.49
461,25-7-2016,56,110,0.34
462,25-7-2017,48,90,0.35
463,25-8-2015,73,66,0.53
464,25-8-2016,43,97,0.31
465,25-8-2017,49,132,0.27
466,25-9-2015,102,146,0.41
467,25-9-2016,31,117,0.21
468,26-1-2016,10,58,0.15
469,26-1-2017,18,75,0.19
470,26-10-2015,35,57,0.38
471,26-10-2016,48,97,0.33
472,26-11-2015,6,48,0.11
473,26-11-2016,32,79,0.29
474,26-12-2015,26,82,0.24
475,26-12-2016,89,66,0.57
476,26-2-2016,92,112,0.45
477,26-2-2017,44,130,0.25
478,26-3-2016,46,56,0.45
479,26-3-2017,30,90,0.25
480,26-4-2016,70,117,0.37
481,26-4-2017,127,70,0.64
482,26-5-2016,53,186,0.22
483,26-5-2017,66,91,0.42
484,26-6-2016,70,162,0.3
485,26-6-2017,63,92,0.41
486,26-7-2015,14,31,0.31
487,26-7-2016,38,83,0.31
488,26-7-2017,63,77,0.45
489,26-8-2015,44,70,0.39
490,26-8-2016,57,100,0.36
491,26-8-2017,66,93,0.42
492,26-9-2015,103,80,0.56
493,26-9-2016,131,157,0.45
494,27-1-2016,56,67,0.46
495,27-1-2017,22,113,0.16
496,27-10-2015,12,49,0.2
497,27-10-2016,84,88,0.49
498,27-11-2015,18,108,0.14
499,27-11-2016,31,47,0.4
500,27-12-2015,35,70,0.33
501,27-12-2016,56,130,0.3
502,27-2-2016,37,158,0.19
503,27-2-2017,28,95,0.23
504,27-3-2016,45,72,0.38
505,27-3-2017,46,103,0.31
506,27-4-2016,66,97,0.4
507,27-4-2017,79,100,0.44
508,27-5-2016,50,47,0.52
509,27-5-2017,49,68,0.42
510,27-6-2016,77,95,0.45
511,27-6-2017,81,100,0.45
512,27-7-2015,96,72,0.57
513,27-7-2016,50,74,0.4
514,27-7-2017,51,94,0.35
515,27-8-2015,47,38,0.55
516,27-8-2016,55,81,0.4
517,27-8-2017,45,121,0.27
518,27-9-2015,18,48,0.27
519,27-9-2016,27,91,0.23
520,28-1-2016,23,63,0.27
521,28-1-2017,27,74,0.27
522,28-10-2015,8,118,0.06
523,28-10-2016,176,144,0.55
524,28-11-2015,14,45,0.24
525,28-11-2016,27,81,0.25
526,28-12-2015,25,60,0.29
527,28-12-2016,56,63,0.47
528,28-2-2016,119,62,0.66
529,28-2-2017,32,63,0.34
530,28-3-2016,39,120,0.25
531,28-3-2017,18,61,0.23
532,28-4-2016,116,116,0.5
533,28-4-2017,83,156,0.35
534,28-5-2016,46,59,0.44
535,28-5-2017,72,129,0.36
536,28-6-2016,46,89,0.34
537,28-6-2017,90,114,0.44
538,28-7-2015,16,26,0.38
