tt0334374,Filip Djuric,Mirsad Elezi,Masa Kavcic,Sabina Kogovsek,Karin Komljanec,Blaz Marincelj,Mustafa Nadarevic,Sasa Tabakovic,Maja Zeco,Jurij Zrnec
tt0335345,Jim Caviezel,Monica Bellucci,Maia Morgenstern,Christo Jivkov,Francesco De Vito,Mattia Sbragia,Toni Bertorelli,Luca Lionello,Hristo Shopov,Claudia Gerini
tt0335121,Robert De Niro,Greg Kinnear,Rebecca Romijn,Cameron Bright,Merwin Mondesir,Sava Drayton,Jake Simons,Elle Downs,Edie Inksetter,Raoul Bhaneja
tt0334267,Darko Rundek,Natasa Matjasec,Matjaz Tribuson,Milan Stefe,Vesna Jevnikar,Visnja Ficor,Rafael Voncina,Natasa Burger,Gregor Cusin,Janja Majzelj
tt0337540,Luke Goss,Leslie Grantham,Marius Weyers,Steven Berkoff,Anita Dobson,Nicole Sherwin,Antony Carrick,Douglas McFerran,Langley Kirkwood,Jeroen Kranenburg
tt0337579,Ice Cube,Cedric The Entertainer,Eve,Queen Latifah,Sean Patrick Thomas,Troy Garity,Michael Ealy,Leonard Earl Howze,Harry Lennix,Robert Wisdom
tt0338096,Diego Luna,Romola Garai,Sela Ward,John Slattery,Jonathan Jackson,January Jones,Mika Boorem,René Lavan,Mya,Polly Cole
tt0337796,Kevin Sumba Okomba,Valentine Achengi,Kevin Musyoka,,,,,,,
tt0337876,Nicole Kidman,Cameron Bright,Lauren Bacall,Danny Huston,Alison Elliott,Arliss Howard,Michael Desautels,Anne Heche,Peter Stormare,Ted Levine
tt0338133,Vincent Kartheiser,Taryn Manning,Arliss Howard,Mare Winningham,Blake Heron,Michelle Forbes,Marshall Bell,Shawn Reaves,Robert Blanche,Don Alder
tt0339432,Neriman Akkale,Rafet Eski,Halit Inan,Hakki Kiliç,Abdulkerim Sari,Mehmet Tanik,Ali Turaç,Ahmet Çakir,,
tt0337708,Ulrich Thomsen,Shauna Macdonald,Gary Lewis,Kevin McKidd,Patrick Malahide,Eddie Marsan,Clive Russell,Jimmy Yuill,Ian McNeice,John Wood
tt0340012,Annette Bening,Michael Gambon,Maury Chaykin,Jeremy Irons,Leigh Lawson,Shaun Evans,Mari Kiss,Ronald Markham,Terry Sach,Catherine Charlton
tt0339397,Alex Weed,Jeffrey Schecter,János Kulka,Dorka Gryllus,Olga Koós,Krisztián Kolovratnik,Péter Rudolf,Eszter Csákányi,Ferenc Némethy,Anita Bogozi
tt0337660,Richard Tyson,Bobbie Phillips,Adriano González,Rene L. Moreno,Vicellous Shannon,Cliff De Young,Norberto Montes Figueroa,Bettina Mercado,Norman Grant,Chris Hubbard
tt0338751,Leonardo DiCaprio,Cate Blanchett,Kate Beckinsale,John C. Reilly,Alec Baldwin,Alan Alda,Ian Holm,Danny Huston,Gwen Stefani,Jude Law
