0,1,2,3
tt4121866,Of ik gek ben,"5,9",2016
tt4126704,Immortality,"7,2",2016
tt4125630,American Bred,"6,0",2016
tt4126694,One Night,"5,7",2017
tt4126434,Before the Fall,"6,1",2017
tt4123876,Oscuro animal,"6,4",2017
tt4129870,White Girl,"5,7",2016
tt4129802,Vermelho Russo,"6,5",2017
tt4131594,Fado,"5,8",2016
tt4131240,West Coast,"5,8",2016
tt4137380,Forbidden Cuba,"7,8",2016
tt4136008,Mission NinetyTwo: Dragonfly,"4,6",2016
tt4135076,Jätten,"6,5",2016
tt4136438,Theatre and Me's the Bully,NO DATA,2016
tt4136084,Florence Foster Jenkins,"6,8",2016
tt4132554,The Kids Aren't Alright,"8,8",2016
tt4136312,Deficiency Notice,"8,0",2016
tt4142762,Arcadia,"8,1",2016
tt4144190,Wiener-Dog,"5,9",2016
tt4146378,Hoteru kopan,NO DATA,2016
tt4147676,Church Hurt,NO DATA,2016
tt4150444,The New Man,"6,1",2016
tt4152212,Sick of it All,"4,2",2017
tt4157350,Ring River,NO DATA,2016
tt4156666,Naija Beta,NO DATA,2016
tt4160706,Live Cargo,"4,5",2017
tt4161396,The Harrow,"4,5",2016
tt4161564,L'effet aquatique,"6,2",2016
tt4158876,Other People,"6,8",2016
tt4164384,Papagajka,"6,8",2016
tt4163960,Showing Roots,"5,9",2016
tt4163670,Affettuoso,NO DATA,2016
tt4168248,Under pyramiden,"3,9",2016
tt4171366,La pols,"7,5",2016
tt4167244,Slap Worthy,NO DATA,2016
tt4166306,Sanctuary,NO DATA,2016
tt4167832,Good Funk,"6,5",2021
tt4171982,Hannas schlafende Hunde,"6,2",2016
tt4168286,Osloboduvanje na Skopje,"6,4",2016
tt4169074,Automatic at Sea,"5,7",2016
tt4172430,13 Hours,"7,3",2016
tt4173336,Era d'estate,"6,7",2016
tt4169250,M.S. Dhoni: The Untold Story,"8,0",2016
tt4172146,Summer of 8,"5,5",2016
tt4171876,Xia You Qiao Mu,"4,8",2016
tt4170344,I Called Him Morgan,"7,3",2017
tt4172746,The Kids from 62-F,"5,3",2016
tt4174926,Where Love Found Me,"5,6",2018
tt4175096,I am Bonnie,"8,0",2016
tt4177336,El Vigilante,"6,6",2016
tt4180290,Come Out Fighting,"7,7",2016
tt4181270,Window Horses: The Poetic Persian Epiphany of Rosie Ming,"6,8",2017
tt4177080,Children of the Fall,"7,1",2016
tt4181290,Suficiente coraje,"7,3",2016
tt4179950,Agnes,"5,5",2016
tt4177258,With This Ring,NO DATA,2016
tt4178850,Gone by Dawn,"5,5",2016
tt4180008,Gringo,"3,8",2016
tt4182064,Late Summer,"5,2",2016
tt4183300,Of Minor Prophets,NO DATA,2016
tt4188654,Cheerleader,"7,8",2018
tt4190256,Yatim khaneye Iran,"5,9",2016
tt4191702,Norman: The Moderate Rise and Tragic Fall of a New York Fixer,"6,1",2017
tt4190530,Anthropoid,"7,2",2016
tt4195444,Tosa no ipponzuri,NO DATA,2016
tt4189494,Ordinary World,"5,5",2016
tt4196450,The Birth of a Nation,"6,5",2016
tt4197474,Tatara Samurai,"5,7",2017
tt4196848,Mr. Church,"7,6",2016
tt4197642,A Date for Mad Mary,"7,0",2016
tt4193394,Indignation,"6,7",2016
tt4198506,Girasol,"6,1",2016
tt4201582,Take It Back,NO DATA,2016
tt4199552,The Good Breast,NO DATA,2016
tt4193824,Banner on the Moon,NO DATA,2016
tt4198260,Il ragazzo della Giudecca,"6,0",2016
tt4192542,Babanchi Shala,"7,5",2016
tt4201422,Höre die Stille,"5,8",2021
tt4198438,The System Is Broken,NO DATA,2016
tt4204098,Grand Unified Theory,"7,5",2018
tt4208256,The Boy on the Train,"7,5",2016
tt4210080,The Confirmation,"6,4",2016
tt4210112,Nakom,"6,8",2017
tt4211312,The White King,"5,5",2017
tt4211044,Adult Life Skills,"6,2",2016
tt4212552,Twee Grade van Moord,"6,8",2016
